,sentence_text,e1_text,e2_text,relation_type,normalized_sentence
0,"Milk, milk products, and calcium-rich foods or drugs may impair the absorption of EMCYT.",calcium,EMCYT,mechanism,Milk milk products DRUG rich foods drugs may impair absorption OTHER_DRUG .
1,"Echistatin alone had no effect on tyrosine phosphorylation in T24 cells, but dose-dependently inhibits the effects of contortrostatin when both are added simultaneously. ",Echistatin,contortrostatin,effect,DRUG alone effect tyrosine phosphorylation T24 cells dose dependently inhibits effects OTHER_DRUG added simultaneously.
2,"Flavoridin alone was found to have no effect on CAS, but can completely block contortrostatin-induced phosphorylation of this protein in MDA-MB-435 cells. ",Flavoridin,contortrostatin,effect,DRUG alone found effect CAS completely block OTHER_DRUG induced phosphorylation protein MDA MB 435 cells.
3,The concurrent administration of allopurinol and ampicillin increases substantially the incidence of rashes in patients receiving both drugs as compared to patients receiving ampicillin alone.,allopurinol,ampicillin,effect,concurrent administration DRUG OTHER_DRUG increases substantially incidence rashes patients receiving drugs compared patients receiving ampicillin alone.
4,It is not known whether this potentiation of ampicillin rashes is due to allopurinol or the hyperuricemia present in these patients.,ampicillin,allopurinol,effect,known whether potentiation DRUG rashes due OTHER_DRUG hyperuricemia present patients.
5,"In common with other broad-spectrum antibiotics, AUGMENTIN XR may reduce the efficacy of oral contraceptives",broad-spectrum antibiotics,contraceptives,effect,common DRUG AUGMENTIN XR may reduce efficacy oral OTHER_DRUG
6,"In common with other broad-spectrum antibiotics, AUGMENTIN XR may reduce the efficacy of oral contraceptives",AUGMENTIN XR,contraceptives,effect,common broad spectrum antibiotics DRUG may reduce efficacy oral OTHER_DRUG
7,Particular caution is necessary when using ROMAZICON in cases of mixed drug overdosage since the toxic effects (such as convulsions and cardiac dysrhythmias) of other drugs taken in overdose (especially cyclic antidepressants) may emerge with the reversal of the benzodiazepine effect by flumazenil.,ROMAZICON,cyclic antidepressants,effect,Particular caution necessary using DRUG cases mixed drug overdosage since toxic effects (such convulsions cardiac dysrhythmias) drugs taken overdose (especially OTHER_DRUG ) may emerge reversal benzodiazepine effect flumazenil.
8,"Although ROMAZICON exerts a slight intrinsic anticonvulsant effect, its abrupt suppression of the protective effect of a benzodiazepine agonist can give rise to convulsions in epileptic patients.",ROMAZICON,benzodiazepine,effect,Although DRUG exerts slight intrinsic anticonvulsant effect abrupt suppression protective effect OTHER_DRUG agonist give rise convulsions epileptic patients.
9,ROMAZICON blocks the central effects of benzodiazepines by competitive interaction at the receptor level.,ROMAZICON,benzodiazepines,effect,DRUG blocks central effects OTHER_DRUG competitive interaction receptor level.
10,"The effects of nonbenzodiazepine agonists at benzodiazepine receptors, such as zopiclone, triazolopyridazines and others, are also blocked by ROMAZICON.",zopiclone,ROMAZICON,effect,effects nonbenzodiazepine agonists benzodiazepine receptors DRUG triazolopyridazines others also blocked OTHER_DRUG .
11,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,antiarrhythmics,advise,Caution advised DRUG coadministered medications prolong QT interval (e.g. certain OTHER_DRUG thioridazine) lead electrolyte abnormalities (such diuretics amphotericin B).
12,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,thioridazine,advise,Caution advised DRUG coadministered medications prolong QT interval (e.g. certain antiarrhythmics OTHER_DRUG ) lead electrolyte abnormalities (such diuretics amphotericin B).
13,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,diuretics,advise,Caution advised DRUG coadministered medications prolong QT interval (e.g. certain antiarrhythmics thioridazine) lead electrolyte abnormalities (such OTHER_DRUG amphotericin B).
14,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,amphotericin B,advise,Caution advised DRUG coadministered medications prolong QT interval (e.g. certain antiarrhythmics thioridazine) lead electrolyte abnormalities (such diuretics OTHER_DRUG ).
15,"Intrathecal injection of naloxone at doses of 0.4 to 40 micrograms caused a dose-related blockade of the inhibition of the tail-flick response induced by intraventricular injection of beta-endorphin, and a high dose of naloxone (40 micrograms) completely blocked the tail-flick inhibition induced by intraventricular beta-endorphin (16 micrograms). ",naloxone,beta-endorphin,effect,Intrathecal injection DRUG doses 0.4 40 micrograms caused dose related blockade inhibition tail flick response induced intraventricular injection OTHER_DRUG high dose naloxone (40 micrograms) completely blocked tail flick inhibition induced intraventricular beta endorphin (16 micrograms).
16,"Intrathecal injection of naloxone at doses of 0.4 to 40 micrograms caused a dose-related blockade of the inhibition of the tail-flick response induced by intraventricular injection of beta-endorphin, and a high dose of naloxone (40 micrograms) completely blocked the tail-flick inhibition induced by intraventricular beta-endorphin (16 micrograms). ",naloxone,beta-endorphin,effect,Intrathecal injection naloxone doses 0.4 40 micrograms caused dose related blockade inhibition tail flick response induced intraventricular injection beta endorphin high dose DRUG (40 micrograms) completely blocked tail flick inhibition induced intraventricular OTHER_DRUG (16 micrograms).
17,"On the other hand, intrathecal naloxone (12-120 micrograms) had only a very weak effect on the tail-flick inhibition induced by intraventricular morphine (40 micrograms). ",naloxone,morphine,effect,hand intrathecal DRUG (12 120 micrograms) weak effect tail flick inhibition induced intraventricular OTHER_DRUG (40 micrograms).
18,Intraventricular injection of naloxone at doses of 1.2 to 12 micrograms equally antagonized in a dose-dependent manner the tail-flick inhibition induced by intraventricular beta-endorphin and morphine. ,naloxone,beta-endorphin,effect,Intraventricular injection DRUG doses 1.2 12 micrograms equally antagonized dose dependent manner tail flick inhibition induced intraventricular OTHER_DRUG morphine.
19,Intraventricular injection of naloxone at doses of 1.2 to 12 micrograms equally antagonized in a dose-dependent manner the tail-flick inhibition induced by intraventricular beta-endorphin and morphine. ,naloxone,morphine,effect,Intraventricular injection DRUG doses 1.2 12 micrograms equally antagonized dose dependent manner tail flick inhibition induced intraventricular beta endorphin OTHER_DRUG .
20,Rarely salicylate toxicity may occur in patients who discontinue steroids after concurrent high-dose aspirin therapy.,steroids,aspirin,effect,Rarely salicylate toxicity may occur patients discontinue DRUG concurrent high dose OTHER_DRUG therapy.
21,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes.",Barbiturates,fludrocortisone acetate,mechanism,DRUG phenytoin rifampin increased metabolic clearance OTHER_DRUG induction hepatic enzymes.
22,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes.",phenytoin,fludrocortisone acetate,mechanism,Barbiturates DRUG rifampin increased metabolic clearance OTHER_DRUG induction hepatic enzymes.
23,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes.",rifampin,fludrocortisone acetate,mechanism,Barbiturates phenytoin DRUG increased metabolic clearance OTHER_DRUG induction hepatic enzymes.
24,"Oxytocin or other oxytocics (concurrent use with dinoprost may result in uterine hypertonus, possibly causing uterine rupture or cervical laceration, especially in the absence of adequate cervical dilatation;",Oxytocin,dinoprost,effect,DRUG oxytocics (concurrent use OTHER_DRUG may result uterine hypertonus possibly causing uterine rupture cervical laceration especially absence adequate cervical dilatation;
25,"Oxytocin or other oxytocics (concurrent use with dinoprost may result in uterine hypertonus, possibly causing uterine rupture or cervical laceration, especially in the absence of adequate cervical dilatation;",oxytocics,dinoprost,effect,Oxytocin DRUG (concurrent use OTHER_DRUG may result uterine hypertonus possibly causing uterine rupture cervical laceration especially absence adequate cervical dilatation;
26,Acetaminophen: A report of severe acetaminophen toxicity was reported in a patient receiving Isoniazid.,acetaminophen,Isoniazid,effect,Acetaminophen: report severe DRUG toxicity reported patient receiving OTHER_DRUG .
27,It is believed that the toxicity may have resulted from a previously unrecognized interaction between isoniazid and acetaminophen and a molecular basis for this interaction has been proposed.,isoniazid,acetaminophen,effect,believed toxicity may resulted previously unrecognized interaction DRUG OTHER_DRUG molecular basis interaction proposed.
28,"Furthermore it has been proposed that isoniazid resulted In induction of P-450IIE1 in the patients liver which, in turn, resulted in a greater proportion of the ingested acetaminophen being converted to the toxic metabolites.",isoniazid,acetaminophen,mechanism,Furthermore proposed DRUG resulted induction P 450IIE1 patients liver turn resulted greater proportion ingested OTHER_DRUG converted toxic metabolites.
29,"Carbamazepine: Isoniazid is known to slow the metabolism of carbamazepine and increase its serum levels Carbamazepine levels should be determined prior to concurrent administration with isoniazid, signs and symptoms of carbamazepine toxicity should be monitored closely, and appropriate dosage adjustment of the anticonvulsant should be made.",Isoniazid,carbamazepine,mechanism,Carbamazepine: DRUG known slow metabolism OTHER_DRUG increase serum levels Carbamazepine levels determined prior concurrent administration isoniazid signs symptoms carbamazepine toxicity monitored closely appropriate dosage adjustment anticonvulsant made.
30,"Carbamazepine: Isoniazid is known to slow the metabolism of carbamazepine and increase its serum levels Carbamazepine levels should be determined prior to concurrent administration with isoniazid, signs and symptoms of carbamazepine toxicity should be monitored closely, and appropriate dosage adjustment of the anticonvulsant should be made.",Carbamazepine,isoniazid,advise,Carbamazepine: Isoniazid known slow metabolism carbamazepine increase serum levels DRUG levels determined prior concurrent administration OTHER_DRUG signs symptoms carbamazepine toxicity monitored closely appropriate dosage adjustment anticonvulsant made.
31,Ketoconazole: Potential interaction of Ketoconazole and Isoniazid may exist.,Ketoconazole,Isoniazid,int,Ketoconazole: Potential interaction DRUG OTHER_DRUG may exist.
32,Phenytoin: Isoniazid may increase serum levels of phenytoin.,Isoniazid,phenytoin,mechanism,Phenytoin: DRUG may increase serum levels OTHER_DRUG .
33,"Therophylline: A recent study has shown that concomitan administration of isoniazid and theophylline may cause elevated plasma levels of theophylline, and in some instances a slight decrease in the elimination of isoniazid.",isoniazid,theophylline,mechanism,Therophylline: recent study shown concomitan administration DRUG OTHER_DRUG may cause elevated plasma levels theophylline instances slight decrease elimination isoniazid.
