,sentence_text,e1_text,e2_text,relation_type,normalized_sentence
0,"Milk, milk products, and calcium-rich foods or drugs may impair the absorption of EMCYT.",calcium,EMCYT,mechanism,Milk milk products DRUG rich foods drugs may impair absorption BRAND .
1,"Echistatin alone had no effect on tyrosine phosphorylation in T24 cells, but dose-dependently inhibits the effects of contortrostatin when both are added simultaneously. ",Echistatin,contortrostatin,effect,DRUG_N alone effect tyrosine phosphorylation T24 cells dose dependently inhibits effects DRUG_N added simultaneously.
2,"Flavoridin alone was found to have no effect on CAS, but can completely block contortrostatin-induced phosphorylation of this protein in MDA-MB-435 cells. ",Flavoridin,contortrostatin,effect,DRUG_N alone found effect CAS completely block DRUG_N induced phosphorylation protein MDA MB 435 cells.
3,The concurrent administration of allopurinol and ampicillin increases substantially the incidence of rashes in patients receiving both drugs as compared to patients receiving ampicillin alone.,allopurinol,ampicillin,effect,concurrent administration DRUG DRUG increases substantially incidence rashes patients receiving drugs compared patients receiving ampicillin alone.
4,It is not known whether this potentiation of ampicillin rashes is due to allopurinol or the hyperuricemia present in these patients.,ampicillin,allopurinol,effect,known whether potentiation DRUG rashes due DRUG hyperuricemia present patients.
5,"In common with other broad-spectrum antibiotics, AUGMENTIN XR may reduce the efficacy of oral contraceptives",broad-spectrum antibiotics,contraceptives,effect,common GROUP AUGMENTIN XR may reduce efficacy oral GROUP
6,"In common with other broad-spectrum antibiotics, AUGMENTIN XR may reduce the efficacy of oral contraceptives",AUGMENTIN XR,contraceptives,effect,common broad spectrum antibiotics BRAND may reduce efficacy oral GROUP
7,Particular caution is necessary when using ROMAZICON in cases of mixed drug overdosage since the toxic effects (such as convulsions and cardiac dysrhythmias) of other drugs taken in overdose (especially cyclic antidepressants) may emerge with the reversal of the benzodiazepine effect by flumazenil.,ROMAZICON,cyclic antidepressants,effect,Particular caution necessary using BRAND cases mixed drug overdosage since toxic effects (such convulsions cardiac dysrhythmias) drugs taken overdose (especially GROUP ) may emerge reversal benzodiazepine effect flumazenil.
8,"Although ROMAZICON exerts a slight intrinsic anticonvulsant effect, its abrupt suppression of the protective effect of a benzodiazepine agonist can give rise to convulsions in epileptic patients.",ROMAZICON,benzodiazepine,effect,Although BRAND exerts slight intrinsic anticonvulsant effect abrupt suppression protective effect GROUP agonist give rise convulsions epileptic patients.
9,ROMAZICON blocks the central effects of benzodiazepines by competitive interaction at the receptor level.,ROMAZICON,benzodiazepines,effect,BRAND blocks central effects GROUP competitive interaction receptor level.
10,"The effects of nonbenzodiazepine agonists at benzodiazepine receptors, such as zopiclone, triazolopyridazines and others, are also blocked by ROMAZICON.",zopiclone,ROMAZICON,effect,effects nonbenzodiazepine agonists benzodiazepine receptors DRUG triazolopyridazines others also blocked BRAND .
11,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,antiarrhythmics,advise,Caution advised BRAND coadministered medications prolong QT interval (e.g. certain GROUP thioridazine) lead electrolyte abnormalities (such diuretics amphotericin B).
12,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,thioridazine,advise,Caution advised BRAND coadministered medications prolong QT interval (e.g. certain antiarrhythmics DRUG ) lead electrolyte abnormalities (such diuretics amphotericin B).
