,sentence_text,e1,e2,relation_type,normalized_sentence
0,Concurrent administration of a TNF antagonist with ORENCIA has been associated with an increased risk of serious infections and no significant additional efficacy over use of the TNF antagonists alone.,TNF antagonist,ORENCIA,effect,Concurrent_bf administration_bf TNF_bf antagonist_bf OTHER_DRUG associated_be increased_be risk_be serious_be infections_be significant_be additional_be efficacy_be use_be TNF_be antagonists_be alone_be ._be
1,Concurrent therapy with ORENCIA and TNF antagonists is not recommended.,ORENCIA,TNF antagonists,advise,Concurrent_bf therapy_bf DRUG TNF_be antagonists_be recommended_be ._be
2,"There is insufficient experience to assess the safety and efficacy of ORENCIA administered concurrently with anakinra, and therefore such use is not recommended.",ORENCIA,anakinra,advise,"There_bf insufficient_bf experience_bf assess_bf safety_bf efficacy_bf DRUG administered_be concurrently_be OTHER_DRUG ,_af therefore_af use_af recommended_af ._af"
3,Co-administration of naltrexone with Acamprosate produced a 25% increase in AUC and a 33% increase in the Cmax of acamprosate.,naltrexone,Acamprosate,mechanism,Co-administration_bf DRUG OTHER_DRUG produced_af 25%_af increase_af AUC_af 33%_af increase_af Cmax_af OTHER_DRUG ._af
4,"Patients taking Acamprosate concomitantly with antidepressants more commonly reported both weight gain and weight loss, compared with patients taking either medication alone.",Acamprosate,antidepressants,effect,"Patients_bf taking_bf DRUG concomitantly_be OTHER_DRUG commonly_af reported_af weight_af gain_af weight_af loss_af ,_af compared_af patients_af taking_af either_af medication_af alone_af ._af"
5,"Intestinal adsorbents (e. g., charcoal) and digestive enzyme preparations containing carbohydrate-splitting enzymes (e. g., amylase, pancreatin) may reduce the effect of Acarbose and should not be taken concomitantly.",Intestinal adsorbents,Acarbose,mechanism,"Intestinal_bf adsorbents_bf (e_bf ._bf g_bf ._bf ,_bf charcoal)_bf digestive_bf enzyme_bf preparations_bf containing_bf carbohydrate-splitting_bf enzymes_bf (e_bf ._bf g_bf ._bf ,_bf amylase_bf ,_bf pancreatin)_bf may_bf reduce_bf effect_bf OTHER_DRUG taken_be concomitantly_be ._be"
6,"Intestinal adsorbents (e. g., charcoal) and digestive enzyme preparations containing carbohydrate-splitting enzymes (e. g., amylase, pancreatin) may reduce the effect of Acarbose and should not be taken concomitantly.",charcoal,Acarbose,mechanism,"Intestinal_bf adsorbents_bf (e_bf ._bf g_bf ._bf ,_bf charcoal)_bf digestive_bf enzyme_bf preparations_bf containing_bf carbohydrate-splitting_bf enzymes_bf (e_bf ._bf g_bf ._bf ,_bf amylase_bf ,_bf pancreatin)_bf may_bf reduce_bf effect_bf OTHER_DRUG taken_be concomitantly_be ._be"
7,"Intestinal adsorbents (e. g., charcoal) and digestive enzyme preparations containing carbohydrate-splitting enzymes (e. g., amylase, pancreatin) may reduce the effect of Acarbose and should not be taken concomitantly.",amylase,Acarbose,mechanism,"Intestinal_bf adsorbents_bf (e_bf ._bf g_bf ._bf ,_bf charcoal)_bf digestive_bf enzyme_bf preparations_bf containing_bf carbohydrate-splitting_bf enzymes_bf (e_bf ._bf g_bf ._bf ,_bf DRUG ,_be pancreatin)_be may_be reduce_be effect_be OTHER_DRUG taken_af concomitantly_af ._af"
8,"Intestinal adsorbents (e. g., charcoal) and digestive enzyme preparations containing carbohydrate-splitting enzymes (e. g., amylase, pancreatin) may reduce the effect of Acarbose and should not be taken concomitantly.",pancreatin,Acarbose,mechanism,"Intestinal_bf adsorbents_bf (e_bf ._bf g_bf ._bf ,_bf charcoal)_bf digestive_bf enzyme_bf preparations_bf containing_bf carbohydrate-splitting_bf enzymes_bf (e_bf ._bf g_bf ._bf ,_bf amylase_bf ,_bf pancreatin)_bf may_bf reduce_bf effect_bf OTHER_DRUG taken_be concomitantly_be ._be"
9,"Acarbose has been shown to change the bioavailabillty digoxin when they are co-administered, which may require digoxin dose adjustment.",Acarbose,digoxin,mechanism,"DRUG shown_be change_be bioavailabillty_be OTHER_DRUG co-administered_af ,_af may_af require_af OTHER_DRUG dose_af adjustment_af ._af"
10,"However, the peak plasma level of metformin was reduced by approximately 20% when taking Acarbose due to a slight delay in the absorption of metformin.",metformin,Acarbose,mechanism,"However_bf ,_bf peak_bf plasma_bf level_bf DRUG reduced_be approximately_be 20%_be taking_be OTHER_DRUG due_af slight_af delay_af absorption_af DRUG ._af"
